X,Y,Class
Book Hotel ,Hotel,
I want to book hotel,Hotel,
Help me with hotel booking,Hotel,
I was searching for hotels,Hotel,
I think you can help me with Hotel booking,Hotel,
Show me hotels,Hotel,
Recomment me some good hotels,Hotel,
I want to plan iternary for Pune,Iterarnary,
My budget is 5000 per person,Hotel,
I want to have adventurous activities ,Iterarnary,
I want to go with family,Iterarnary,
I can spend k rupees,Hotel,
I want to visit Historic places in Pune,Iterarnary,
I am here for one day trip ,Iterarnary,
I want to spend whole Weekend,Iterarnary,
Which places should be visited in Pune for one day,Iterarnary,
What all adventurous places can be done in Pune,Iterarnary,
What Historic places can be visited ,Iterarnary,
What Historic places in one day,Iterarnary,
Which all places are like Shanirwada ,Iterarnary,
Please help me with hotel booking,Hotel,
Is there a hotel ,Hotel,
I was looking for a place to stay,Hotel,
Hotel Booking today,Hotel,
Hey can you look for flights,Flights,
One day trip to Imagica ,Iterarnary,
I have a low budget around 5k,Hotel,
Please help me with flight booking,Flights,
I need help with flight booking,Flights,
Booking,Hotel,
Flight,Flights,
Hey can you look hotels for me,Hotel,
Would you help me in finding Hotel today,Hotel,
I really want your help in finding hotel,Hotel,
Can you please recommend me flights from Pune to Delhi,Flights,
Flights from Delhi to Pune,Flights,
Flights from Pune to Kolkata,Flights,
Recommend Flights ,Flights,
Flights under 10k,Flights,
Flights under 5k,Flights,
One day trip in Pune for Historical places ,Iterarnary,
Best plans for Friends ,Iterarnary,
I was hoping to find flights,Flights,
Can I get a flight from here,Flights,
Are flights available for me,Flights,
Please recommend me flights in the weekends,Flights,
Flights in economy class,Flights,
I want flights in moderate rates,Flights,
One day Flight,Flights,
I am looking for two star hotel,Hotel,
I am looking for one star hotel,Hotel,
I am looking for hotels,Hotel,
I am looking for 4/5 star hotel,Hotel,
I want to plan a trip with my family for one day,Iterarnary,
I want to plan a trip with my family for one day for adventures,Iterarnary,
I want to plan a trip with my family for one day for Historic places,Iterarnary,
I want to plan a trip with my friend for one day,Iterarnary,
I want to plan a trip with my friends for one day for adventures,Iterarnary,
I want to plan a trip with my friends for one day for Historic places,Iterarnary,
Planning adventurous activities for family,Iterarnary,
Want to plan a trip for sight seeing ,Iterarnary,
I want to plan a visit Hill station nearby,Iterarnary,
I want help in planning trip away from the city,Iterarnary,
Hi I wanted to plan one day tour in Pune,Iterarnary,
I want to book a hotel with parking,Hotel,
Can we have a trekking plan for one day,Iterarnary,
Can we have a overnight lake camping,Iterarnary,
Hi I am planning to tour Pune for weekend,Iterarnary,
Actually I was looking for adventure ,Iterarnary,
I am actually vested in Historic of Pune,Iterarnary,
"I have heard of best theme parks in Pune, how would we plan the tour",Iterarnary,
It would be good if we have visit in a good Hotel ,Hotel,
I was looking for a Hotel for weekend,Hotel,
I am planning for relaxing visit in a Hotel,Hotel,
I was thinking of a hotel with good scenic views ,Hotel,
What would be the best plan for one day with family,Iterarnary,
What would be the best plan for one day with friends ,Iterarnary,
Please suggest me some good adventure activities,Iterarnary,
I want to relieve some Historic monuments,Iterarnary,
I want complete two day plan for Pune,Iterarnary,
I want relaxing weekend in Pune,Iterarnary,
I want a budget friendly one day trip,Hotel,
Trekking in Pune,Iterarnary,
I want to plan trekking with my friends,Iterarnary,
Was looking for trek with my friends ,Iterarnary,
I was looking for flight for going back,Flights,
I prefer flights for travelling,Flights,
I only prefer flights ,Flights,
Thanks I will look for flights,Flights,
Sorry I was looking for hotel,Hotel,
Recommend me a place to stay,Hotel,
What are the best Historic places can be visited in Pune,Iterarnary,
What are the best adventure activities,Iterarnary,
Sight Seeing places in Pune,Iterarnary,
Adventures in Pune,Iterarnary,
Historical monuments in Pune,Iterarnary,
Best one day plans,Iterarnary,
Best weekend plans ,Iterarnary,
Best friend plans ,Iterarnary,
I want full plan for visiting Pune,Iterarnary,